PassengerId,Pclass,Sex,Age,SibSp,Parch,Survived
1,3,1,34.5,1,0,0
2,1,0,47,1,0,1
3,3,0,62,0,0,1
4,1,0,27,1,0,1
5,3,1,22,0,0,0
6,3,1,14,0,0,0
7,1,1,30,0,0,0
8,3,1,26,3,1,0
9,3,0,18,0,2,1
10,2,0,21,1,0,1
11,3,0,0,1,1,1
12,1,0,46,0,0,1
13,3,1,23,0,0,0
14,3,1,63,1,5,0
15,3,0,47,0,0,0
16,2,0,24,0,0,1
17,3,1,35,4,1,0
18,2,1,21,0,0,1
19,3,0,27,1,0,0
20,3,0,45,0,0,1
21,2,1,55,0,0,0
22,2,1,9,0,0,1
23,3,0,0,0,0,1
24,1,1,21,0,0,1
25,3,0,48,3,1,0
26,3,0,50,1,5,1
27,3,1,22,0,0,0
28,1,1,22.5,3,2,0
29,3,0,41,0,0,1
30,3,1,0,0,0,0
31,1,1,50,0,0,0
32,1,0,24,1,0,1
33,3,0,33,0,0,1
34,2,1,0,0,0,0
35,1,1,30,1,0,0
36,1,1,18.5,1,0,0
37,3,1,0,0,0,1
38,3,1,21,0,0,0
39,3,0,25,2,0,0
40,3,0,0,1,0,1
41,3,0,39,1,0,0
42,2,0,0,1,0,0
43,3,1,41,0,0,0
44,2,0,30,1,2,1
45,3,0,45,0,0,1
46,3,1,25,0,0,0
47,3,1,45,1,0,0
48,3,0,0,0,0,1
49,3,1,60,2,0,0
50,3,0,36,1,0,0
51,3,1,24,4,1,0
52,3,1,27,0,0,0
53,1,0,20,1,0,1
54,2,0,28,1,0,1
55,1,1,0,0,1,0
56,1,1,10,0,0,1
57,2,0,35,0,0,1
58,3,1,25,0,0,0
59,2,0,0,1,2,1
60,3,1,36,5,2,0
61,3,1,17,0,0,0
62,1,0,32,0,0,1
63,1,1,18,1,0,0
64,3,1,22,3,2,0
65,1,1,13,0,0,0
66,3,1,0,1,1,1
67,2,0,18,0,0,1
68,3,1,47,0,0,0
69,3,0,31,4,2,1
70,3,1,60,2,0,0
71,2,1,24,0,0,0
72,3,0,21,5,2,0
73,2,1,29,0,0,0
74,3,1,28.5,1,0,0
75,3,1,35,0,0,1
76,3,1,32.5,0,0,0
77,3,1,0,0,0,0
78,3,1,55,0,0,0
79,2,1,30,0,2,1
80,3,0,24,0,0,1
81,3,1,6,0,0,0
82,3,1,67,0,0,1
83,3,0,49,0,0,1
84,1,1,0,0,0,0
85,2,0,0,0,0,1
86,3,0,0,3,0,1
87,3,1,27,1,3,0
88,3,1,18,0,0,0
89,1,0,0,3,2,1
90,3,1,2,0,0,0
91,3,1,22,0,0,0
92,3,1,0,0,0,0
93,1,1,27,1,0,0
94,3,1,0,1,2,0
95,3,1,25,0,0,0
96,3,1,25,0,0,0
97,1,1,76,0,0,0
98,1,1,29,0,1,1
99,2,0,20,0,1,1
100,2,1,33,1,0,0
101,3,0,43,0,0,0
102,3,1,27,0,0,0
103,1,1,0,0,1,0
104,3,1,26,0,0,0
105,3,1,16,2,0,0
106,3,1,28,0,0,0
107,3,0,21,0,0,1
108,3,1,0,0,0,1
109,3,1,0,0,0,0
110,3,0,18.5,1,0,1
111,1,1,41,0,0,0
112,3,0,0,1,0,0
113,3,1,36,0,0,0
114,3,0,18.5,1,0,0
115,3,0,63,0,0,0
116,3,1,18,0,0,0
117,3,1,0,0,0,0
118,2,1,1,1,0,0
119,1,1,36,0,1,0
120,3,0,29,4,2,0
121,2,1,12,2,0,0
122,3,1,0,0,0,0
123,2,1,35,1,0,0
124,2,0,28,0,0,1
125,1,1,0,0,1,0
126,3,1,17,1,0,1
127,3,1,22,0,0,0
128,3,1,0,0,0,1
129,3,0,42,1,1,1
130,3,1,24,0,0,0
131,3,1,32,0,0,0
132,3,1,53,0,0,0
133,3,0,0,1,0,0
134,2,0,0,1,0,1
135,2,1,43,0,0,0
136,2,1,24,0,0,0
137,1,0,26.5,0,2,1
138,1,1,26,1,0,0
139,3,1,23,0,0,0
140,1,1,40,0,0,0
141,3,0,10,0,2,0
142,3,0,33,0,0,1
143,3,0,61,1,0,1
144,3,1,28,0,0,0
145,2,1,42,0,0,0
146,2,1,31,1,1,0
147,3,1,0,0,0,1
148,3,0,22,2,2,0
149,2,1,0,0,2,0
150,2,1,30,0,0,0
151,2,1,23,0,0,0
152,1,0,0,1,0,1
153,3,1,60.5,0,0,0
154,3,1,36,0,2,0
155,3,1,13,0,0,0
156,1,1,24,0,1,0
157,3,0,29,0,0,1
158,3,1,23,0,0,0
159,3,1,42,0,0,0
160,3,1,26,8,2,0
161,3,1,0,0,1,0
162,2,0,7,0,0,1
163,3,1,26,0,0,0
164,3,1,0,0,0,0
165,3,1,41,4,1,0
166,3,1,26,0,2,1
167,1,0,48,0,1,1
168,3,0,18,1,4,0
169,1,1,0,0,0,0
170,3,1,22,0,0,0
171,1,1,0,0,0,0
172,3,1,27,4,1,0
173,3,0,23,1,1,1
174,3,1,0,0,0,0
175,1,1,40,0,0,0
176,3,1,15,1,1,0
177,3,1,20,3,1,0
178,1,0,54,0,0,0
179,2,1,36,0,0,0
180,3,1,64,0,0,0
181,3,0,30,8,2,0
182,2,1,37,0,0,0
183,3,1,18,4,2,0
184,2,1,0,2,1,1
185,3,0,27,0,2,1
186,1,1,40,0,0,0
187,3,0,21,1,0,1
188,1,1,17,0,0,1
189,3,1,0,1,1,0
190,3,1,40,0,0,0
191,2,0,34,0,0,1
192,2,1,0,0,0,0
193,3,0,11.5,1,0,1
194,2,1,61,1,1,1
195,1,0,8,0,0,1
196,1,0,33,0,0,1
197,3,1,6,0,0,0
198,3,1,18,0,1,0
199,3,0,23,0,0,1
200,2,0,0,0,0,0
201,3,1,0,0,0,0
202,3,1,0.33,8,2,0
203,3,1,47,0,0,0
204,3,1,8,0,0,0
205,3,1,25,0,0,1
206,3,0,0,0,1,0
207,3,1,35,1,0,0
208,3,1,24,0,0,1
209,3,0,33,0,0,1
210,1,1,25,0,0,1
211,3,1,32,0,0,0
212,2,0,0,0,0,1
213,3,1,17,0,0,0
214,2,1,60,0,0,0
215,3,1,38,1,0,0
216,1,0,42,1,0,1
217,3,0,0,0,0,1
218,2,1,57,1,0,0
219,1,0,50,0,0,1
220,2,1,0,0,0,0
221,3,1,30,0,0,1
222,2,1,21,0,0,0
223,3,1,22,0,0,0
224,3,1,21,0,0,0
225,1,1,53,1,0,1
226,3,1,0,0,0,0
227,2,1,23,0,0,1
228,3,1,0,0,0,0
229,2,1,40.5,0,0,0
230,3,0,36,3,1,0
231,1,0,14,1,0,1
232,3,1,21,0,0,0
233,2,1,21,0,0,0
234,3,0,0,4,2,1
235,2,1,39,0,0,0
236,3,0,20,0,0,0
237,2,1,64,1,0,0
238,2,0,20,0,2,1
239,2,1,18,0,0,0
240,2,1,48,0,0,0
241,3,0,55,1,0,0
242,3,0,45,1,0,1
243,2,1,45,0,0,0
244,3,1,0,0,0,0
245,3,1,0,0,0,0
246,1,1,41,2,0,0
247,3,0,22,0,0,0
248,2,0,42,0,2,1
249,1,1,29,1,1,1
250,2,1,0,1,0,0
251,3,1,0.92,0,0,0
252,3,0,20,1,1,0
253,1,1,27,0,0,0
254,3,1,24,1,0,0
255,3,0,32.5,0,2,0
256,3,0,0,0,2,1
257,1,0,0,0,0,1
258,1,0,28,0,0,1
259,1,0,19,0,0,1
260,2,0,21,0,1,1
261,3,1,36.5,0,0,0
262,3,1,21,4,2,1
263,1,1,29,1,1,0
264,1,1,1,0,0,0
265,3,0,30,0,0,0
266,2,1,0,0,0,0
267,3,1,0,4,1,0
268,3,1,0,1,0,1
269,1,0,0,0,1,1
270,1,0,17,0,0,1
271,1,1,46,0,0,0
272,3,1,0,0,0,1
273,2,0,26,0,1,1
274,1,1,0,0,1,0
275,3,0,0,0,0,1
276,1,0,20,1,0,1
277,3,0,28,0,0,0
278,2,1,40,0,0,0
279,3,1,30,4,1,0
280,3,0,22,1,1,1
281,3,1,23,0,0,0
282,3,1,0.75,0,0,0
283,3,1,0,0,0,0
284,3,1,9,0,0,1
285,1,1,2,0,0,0
286,3,1,36,0,0,0
287,3,1,0,0,0,1
288,3,1,24,0,0,0
289,2,1,0,0,0,1
290,3,0,0,0,0,1
291,1,0,0,0,0,1
292,1,0,30,1,0,1
293,2,1,0,0,0,0
294,3,0,53,0,0,0
295,3,1,36,0,0,0
296,1,1,26,0,0,0
297,3,1,1,0,0,0
298,1,0,0,1,2,0
299,1,1,30,0,0,1
300,1,0,29,0,1,1
301,3,0,32,0,0,1
302,3,1,0,2,0,1
303,3,1,43,0,0,0
304,2,0,24,0,0,1
305,3,1,0,0,0,0
306,1,1,64,1,2,1
307,1,0,30,0,0,1
308,1,0,0.83,1,0,1
309,2,1,55,1,0,0
310,1,0,45,0,0,1
311,1,0,18,0,0,1
312,1,0,22,2,2,1
313,2,0,0,1,1,0
314,3,1,37,0,0,0
315,2,1,55,1,1,0
316,3,0,17,0,0,1
317,2,0,57,1,0,1
318,2,1,19,0,0,0
319,1,0,27,0,2,1
320,1,0,22,1,1,1
321,3,1,26,0,0,0
322,3,1,25,0,0,0
323,2,0,26,0,0,1
324,2,0,33,1,1,1
325,3,1,39,8,2,0
326,1,0,23,0,0,1
327,3,1,12,0,0,0
328,2,0,46,0,0,1
329,3,0,29,1,1,1
330,1,0,21,0,1,1
331,3,0,48,2,0,1
332,1,1,39,0,0,0
333,1,1,0,0,1,0
334,3,1,19,2,0,0
335,1,0,27,1,0,1
336,3,1,30,0,0,0
337,1,1,32,1,0,0
338,1,0,39,0,0,1
339,3,1,25,0,0,1
340,1,1,0,0,0,0
341,2,1,18,1,1,1
342,1,0,32,3,2,1
343,2,1,0,0,0,0
344,2,1,58,0,0,0
345,2,1,0,0,0,0
346,2,0,16,0,0,1
347,2,0,26,0,0,1
348,3,0,38,1,0,1
349,3,1,24,1,1,1
350,3,1,31,0,0,0
351,3,1,45,0,0,0
352,1,1,25,0,0,0
353,3,1,18,1,1,0
354,3,1,49,1,0,0
355,3,1,0.17,0,0,0
356,3,1,50,0,0,0
357,1,0,59,0,1,1
358,2,0,0,0,0,0
359,3,0,0,0,0,1
360,3,0,30,0,0,1
361,3,1,14.5,1,4,0
362,2,1,24,1,0,0
363,3,0,31,0,1,0
364,3,1,27,0,0,0
365,3,1,25,1,0,0
366,3,1,0,0,0,0
367,1,0,0,1,0,1
368,3,0,22,0,0,1
369,3,0,45,0,0,1
370,1,0,29,0,0,1
371,1,1,21,1,0,1
372,3,1,31,1,0,0
373,3,1,49,0,0,0
374,1,1,44,0,0,0
375,3,0,54,3,1,0
376,1,0,45,1,0,1
377,3,0,22,0,0,1
378,1,1,21,0,2,0
379,3,1,55,0,0,0
380,3,1,5,0,0,0
381,1,0,0,0,0,1
382,3,0,26,0,2,1
383,3,1,0,0,0,0
384,1,0,19,1,0,1
385,3,1,0,0,0,0
386,2,1,24,0,0,0
387,3,1,24,5,2,0
388,2,0,57,0,0,1
389,3,1,21,0,0,0
390,2,0,6,0,0,1
391,1,1,23,1,2,1
392,3,1,51,0,0,1
393,3,1,13,2,0,0
394,1,0,47,1,0,1
395,3,0,29,0,2,1
396,3,1,18,0,0,0
397,3,0,24,0,0,0
398,2,1,48,0,0,0
399,2,1,22,0,0,0
400,2,0,31,0,0,1
401,3,1,30,0,0,1
402,3,1,38,0,0,0
403,3,0,22,1,0,0
404,3,1,17,1,0,0
405,3,0,43,0,0,0
406,2,1,20,1,0,0
407,3,1,23,0,0,0
408,2,1,50,1,1,1
409,3,1,0,0,0,0
410,3,0,3,3,1,0
411,3,1,0,0,0,0
412,3,1,37,0,0,0
413,1,0,28,1,0,1
414,2,1,0,0,0,0
415,3,1,39,0,0,1
416,3,0,38.5,0,0,0
417,2,0,0,1,1,1
418,2,0,0,0,2,1
419,2,1,22,0,0,0
420,3,0,38,0,2,0
421,3,1,26,0,0,0
422,3,1,35,0,0,0
423,3,1,35,0,0,0
424,3,0,22,1,1,0
425,3,1,54,1,1,0
426,3,1,2,0,0,0
427,2,0,27,1,0,1
428,2,0,14,0,0,1
429,3,1,4,0,0,0
430,3,1,58,0,0,1
431,1,1,20,0,0,1
432,3,0,39,1,0,1
433,2,0,14,1,0,1
434,3,1,55,0,0,0
435,1,1,2,1,0,0
436,1,0,54,1,2,1
437,3,0,2,2,2,0
438,2,0,27,2,3,1
439,1,1,14,1,4,0
440,2,1,4,0,0,0
441,2,0,58,1,1,1
442,3,1,20,0,0,0
443,3,1,39,1,0,0
444,2,0,14,0,0,1
445,3,1,55,0,0,1
446,1,1,2,0,2,1
447,2,0,54,0,1,1
448,1,1,35,0,0,1
449,3,0,34,2,1,1
450,1,1,15,0,0,1
451,2,1,28,1,2,0
452,3,1,8,1,0,0
453,1,1,38,0,0,0
454,1,1,35,1,0,1
455,3,1,34,0,0,0
456,3,1,15,0,0,1
457,1,1,28,0,0,0
458,1,0,8,1,0,1
459,2,0,38,0,0,1
460,3,1,21,0,0,0
461,1,1,18,0,0,1
462,3,1,14,0,0,0
463,1,1,40,0,0,0
464,2,1,27,0,0,0
465,3,1,29,0,0,0
466,3,1,19,0,0,0
467,2,1,17,0,0,0
468,1,1,26,0,0,0
469,3,1,32,0,0,0
470,3,0,16,2,1,1
471,3,1,21,0,0,0
472,3,1,26,0,0,0
473,2,0,32,1,2,1
474,2,0,25,0,0,1
475,3,0,29,0,0,0
476,1,1,19,0,0,0
477,2,1,23,1,0,0
478,3,1,24,1,0,0
479,3,1,29,0,0,0
480,3,0,20,0,1,1
481,3,1,46,5,2,0
482,2,1,26,0,0,0
483,3,1,59,0,0,0
484,3,0,23,0,0,1
485,1,1,24,1,0,1
486,3,0,47,3,1,0
487,1,0,14.5,1,0,1
488,1,1,22,0,0,0
489,3,1,20,0,0,0
490,3,1,17,1,1,1
491,3,1,21,1,0,0
492,3,1,70.5,0,0,0
493,1,1,29,0,0,0
494,1,1,24,0,0,0
495,3,1,2,0,0,0
496,3,1,21,0,0,0
497,1,0,47,1,0,1
498,3,1,14.5,0,0,0
499,1,0,22,1,2,0
500,3,1,20,0,0,0
501,3,1,17,0,0,0
502,3,0,47,0,0,0
503,3,0,14.5,0,0,0
504,3,0,22,0,0,0
505,1,0,20,0,0,1
506,1,1,17,1,0,0
507,2,0,21,0,2,1
508,1,1,70.5,0,0,1
509,3,1,29,0,0,0
510,3,1,24,0,0,1
511,3,1,2,0,0,1
512,3,1,21,0,0,0
513,1,1,47,0,0,1
514,1,0,14.5,1,0,1
515,3,1,22,0,0,0
516,1,1,20,0,0,0
517,2,0,17,0,0,1
518,3,1,21,0,0,0
519,2,0,70.5,1,0,1
520,3,1,29,0,0,0
521,1,0,24,0,0,1
522,3,1,2,0,0,0
523,3,1,21,0,0,0
524,1,0,47,0,1,1
525,3,1,14.5,0,0,0
526,3,1,22,0,0,0
527,2,0,20,0,0,1
528,1,1,17,0,0,0
529,3,1,21,0,0,0
530,2,1,70.5,2,1,0
531,2,0,29,1,1,1
532,3,1,24,0,0,0
533,3,1,2,1,1,0
534,3,0,21,0,2,1
535,3,0,47,0,0,0
536,2,0,14.5,0,2,1
537,1,1,22,0,0,0
538,1,0,20,0,0,1
539,3,1,17,0,0,0
540,1,0,21,0,2,1
541,1,0,70.5,0,2,1
542,3,0,29,4,2,0
543,3,0,24,4,2,0
544,2,1,2,1,0,1
545,1,1,21,1,0,0
546,1,1,47,0,0,0
547,2,0,14.5,1,0,1
548,2,1,22,0,0,1
549,3,1,20,1,1,0
550,2,1,17,1,1,1
551,1,1,21,0,2,1
552,2,1,70.5,0,0,0
553,3,1,29,0,0,0
554,3,1,24,0,0,1
555,3,0,2,0,0,1
556,1,1,21,0,0,0
557,1,0,47,1,0,1
558,1,1,14.5,0,0,0
559,1,0,22,1,1,1
560,3,0,20,1,0,1
561,3,1,17,0,0,0
562,3,1,21,0,0,0
563,2,1,70.5,0,0,0
564,3,1,29,0,0,0
565,3,0,24,0,0,0
566,3,1,2,2,0,0
567,3,1,21,0,0,0
568,3,0,47,0,4,0
569,3,1,14.5,0,0,0
570,3,1,22,0,0,1
571,2,1,20,0,0,1
572,1,0,17,2,0,1
573,1,1,21,0,0,1
574,3,0,70.5,0,0,1
575,3,1,29,0,0,0
576,3,1,24,0,0,0
577,2,0,2,0,0,1
578,1,0,21,1,0,1
579,3,0,47,1,0,0
580,3,1,14.5,0,0,1
581,2,0,22,1,1,1
582,1,0,20,1,1,1
583,2,1,17,0,0,0
584,1,1,21,0,0,0
585,3,1,70.5,0,0,0
586,1,0,29,0,2,1
587,2,1,24,0,0,0
588,1,1,2,1,1,1
589,3,1,21,0,0,0
590,3,1,47,0,0,0
591,3,1,14.5,0,0,0
592,1,0,22,1,0,1
593,3,1,20,0,0,0
594,3,0,17,0,2,0
595,2,1,21,1,0,0
596,3,1,70.5,1,1,0
597,2,0,29,0,0,1
598,3,1,24,0,0,0
599,3,1,2,0,0,0
600,1,1,21,1,0,1
601,2,0,47,2,1,1
602,3,1,14.5,0,0,0
603,1,1,22,0,0,0
604,3,1,20,0,0,0
605,1,1,17,0,0,1
606,3,1,21,1,0,0
607,3,1,70.5,0,0,0
608,1,1,29,0,0,1
609,2,0,24,1,2,1
610,1,0,2,0,0,1
611,3,0,21,1,5,0
612,3,1,47,0,0,0
613,3,0,45,1,0,1
614,3,1,33,0,0,0
615,3,1,20,0,0,0
616,2,0,47,1,2,1
617,3,1,29,1,1,0
618,3,0,25,1,0,0
619,2,0,23,2,1,1
620,2,1,19,0,0,0
621,3,1,37,1,0,0
622,1,1,16,1,0,1
623,3,1,24,1,1,1
624,3,1,45,0,0,0
625,3,1,33,0,0,0
626,1,1,20,0,0,0
627,2,1,47,0,0,0
628,1,0,29,0,0,1
629,3,1,25,0,0,0
630,3,1,23,0,0,0
631,1,1,19,0,0,1
632,3,1,37,0,0,0
633,1,1,22,0,0,1
634,1,1,24,0,0,0
635,3,0,19,3,2,0
636,2,0,18,0,0,1
637,3,1,19,0,0,0
638,2,1,27,1,1,0
639,3,0,9,0,5,0
640,3,1,36.5,1,0,0
641,3,1,42,0,0,0
642,1,0,51,0,0,1
643,3,0,22,3,2,0
644,3,1,55.5,0,0,1
645,3,0,40.5,2,1,1
646,1,1,22,1,0,1
647,3,1,24,0,0,0
648,1,1,19,0,0,1
649,3,1,18,0,0,0
650,3,0,19,0,0,1
651,3,1,27,0,0,0
652,2,0,9,0,1,1
653,3,1,36.5,0,0,0
654,3,0,42,0,0,1
655,3,0,51,0,0,0
656,2,1,22,2,0,0
657,3,1,55.5,0,0,0
658,3,0,40.5,1,1,0
659,2,1,22,0,0,0
660,1,1,78,0,2,0
661,1,1,45,2,0,1
662,3,1,40,0,0,0
663,1,1,36,0,0,0
664,3,1,32,0,0,0
665,3,1,19,1,0,1
666,2,1,19,2,0,0
667,2,1,3,0,0,0
668,3,1,44,0,0,0
669,3,1,58,0,0,0
670,1,0,66,1,0,1
671,2,0,45,1,1,1
672,1,1,40,1,0,0
673,2,1,31,0,0,0
674,2,1,27,0,0,1
675,2,1,42,0,0,0
676,3,1,32,0,0,0
677,3,1,30,0,0,0
678,3,0,16,0,0,1
679,3,0,27,1,6,0
680,1,1,51,0,1,1
681,3,0,31,0,0,0
682,1,1,27,0,0,1
683,3,1,42,0,0,0
684,3,1,32,5,2,0
685,2,1,30,1,1,0
686,2,1,16,1,2,0
687,3,1,27,4,1,0
688,3,1,51,0,0,0
689,3,1,31,0,0,0
690,1,0,27,0,1,1
691,1,1,42,1,0,1
692,3,0,32,0,1,1
693,3,1,30,0,0,1
694,3,1,16,0,0,0
695,1,1,27,0,0,0
696,2,1,51,0,0,0
697,3,1,31,0,0,0
698,3,0,27,0,0,1
699,1,1,42,1,1,0
700,3,1,29,0,0,0
701,1,0,22,1,0,1
702,1,1,30,0,0,1
703,3,0,44,0,1,0
704,3,1,25,0,0,0
705,3,1,24,1,0,0
706,2,1,37,0,0,0
707,2,0,54,0,0,1
708,1,1,66,0,0,1
709,1,0,29,0,0,1
710,3,1,62,1,1,1
711,1,0,30,0,0,1
712,1,1,41,0,0,0
713,1,1,29,1,0,1
714,3,1,29,0,0,0
715,2,1,22,0,0,0
716,3,1,30,0,0,0
717,1,0,44,0,0,1
718,2,0,25,0,0,1
719,3,1,24,0,0,0
720,3,1,33,0,0,0
721,2,0,30,0,1,1
722,3,1,22,1,0,0
723,2,1,42,0,0,0
724,2,1,22,0,0,0
725,1,1,26,1,0,1
726,3,1,19,0,0,0
727,2,0,36,3,0,1
728,3,0,24,0,0,1
729,2,1,24,1,0,0
730,3,0,34,1,0,0
731,1,0,23.5,0,0,1
732,3,1,2,0,0,0
733,2,1,33,0,0,0
734,2,1,30,0,0,0
735,2,1,22,0,0,0
736,3,1,42,0,0,0
737,3,0,22,1,3,0
738,1,1,26,0,0,1
739,3,1,19,0,0,0
740,3,1,36,0,0,0
741,1,1,24,0,0,1
742,1,1,24,1,0,0
743,1,0,44,2,2,1
744,3,1,23.5,1,0,0
745,3,1,2,0,0,1
746,1,1,33,1,1,0
747,3,1,30,1,1,0
748,2,0,22,0,0,1
749,1,1,17,1,0,0
750,3,1,30,0,0,0
751,2,0,30,1,1,1
752,3,1,24,0,1,1
753,3,1,18,0,0,0
754,3,1,26,0,0,0
755,2,0,28,1,2,1
756,2,1,43,1,1,1
757,3,1,26,0,0,0
758,2,1,24,0,0,0
759,3,1,54,0,0,0
760,1,0,31,0,0,1
761,3,1,40,0,0,0
762,3,1,22,0,0,0
763,3,1,27,0,0,1
764,1,0,30,1,2,1
765,3,1,22,0,0,0
766,1,0,33,1,0,1
767,1,1,36,0,0,0
768,3,0,61,0,0,0
769,3,1,36,1,0,0
770,3,1,31,0,0,0
771,3,1,16,0,0,0
772,3,1,32,0,0,0
773,2,0,45.5,0,0,0
774,3,1,38,0,0,0
775,2,0,16,1,3,1
776,3,1,17,0,0,0
777,3,1,30,0,0,0
778,3,0,30,0,0,1
779,3,1,24,0,0,0
780,1,0,18,0,1,1
781,3,0,26,0,0,1
782,1,0,28,1,0,1
783,1,1,43,0,0,0
784,3,1,26,1,2,0
785,3,1,24,0,0,0
786,3,1,54,0,0,0
787,3,0,31,0,0,1
788,3,1,40,4,1,0
789,3,1,29,1,2,1
790,1,1,41,0,0,0
791,3,1,45,0,0,0
792,2,1,45,0,0,0
793,3,0,2,8,2,0
794,1,1,24,0,0,0
795,3,1,28,0,0,0
796,2,1,25,0,0,0
797,1,0,36,0,0,1
798,3,0,24,0,0,1
799,3,1,40,0,0,0
800,3,0,23,1,1,0
801,2,1,3,0,0,0
802,2,0,42,1,1,1
803,1,1,23,1,2,1
804,3,1,43,0,1,1
805,3,1,15,0,0,1
806,3,1,25,0,0,0
807,1,1,12,0,0,0
808,3,0,28,0,0,0
809,2,1,22,0,0,0
810,1,0,38,1,0,1
811,3,1,29,0,0,0
812,3,1,41,0,0,0
813,2,1,45,0,0,0
814,3,0,45,4,2,0
815,3,1,2,0,0,0
816,1,1,24,0,0,0
817,3,0,28,0,0,0
818,2,1,25,1,1,0
819,3,1,36,0,0,0
820,3,1,22,3,2,0
821,1,0,27,1,1,1
822,3,1,20,0,0,1
823,1,1,19,0,0,0
824,3,0,42,0,1,1
825,3,1,1,4,1,0
826,3,1,32,0,0,0
827,3,1,35,0,0,0
828,2,1,23,0,2,1
829,3,1,18,0,0,1
830,1,0,1,0,0,1
831,3,0,36,1,0,1
832,2,1,11,1,1,1
833,3,1,17,0,0,0
834,3,1,36,0,0,0
835,3,1,21,0,0,0
836,1,0,28,1,1,1
837,3,1,23,0,0,0
838,3,1,24,0,0,0
839,3,1,22,0,0,1
840,1,1,31,0,0,1
841,3,1,46,0,0,0
842,2,1,23,0,0,0
843,1,0,28,0,0,1
844,3,1,39,0,0,0
845,3,1,26,0,0,0
846,3,1,21,0,0,0
847,3,1,28,8,2,0
848,3,1,20,0,0,0
849,2,1,34,0,1,0
850,1,0,51,1,0,1
851,3,1,3,4,2,0
852,3,1,21,0,0,0
853,3,0,22,1,1,0
854,1,0,27,0,1,1
855,2,0,20,1,0,0
856,3,0,19,0,1,1
857,1,0,42,1,1,1
858,1,1,42,0,0,1
859,3,0,17,0,3,1
860,3,1,50,0,0,0
861,3,1,14,2,0,0
862,2,1,21,1,0,0
863,1,0,24,0,0,1
864,3,0,64,8,2,0
865,2,1,31,0,0,0
866,2,0,45,0,0,1
867,2,0,20,1,0,1
868,1,1,25,0,0,0
869,3,1,28,0,0,0
870,3,1,42,1,1,1
871,3,1,17,0,0,0
872,1,0,50,1,1,1
873,1,1,14,0,0,0
874,3,1,21,0,0,0
875,2,0,24,1,0,1
876,3,0,64,0,0,1
877,3,1,31,0,0,0
878,3,1,45,0,0,0
879,3,1,20,0,0,0
880,1,0,25,0,1,1
881,2,0,28,0,1,1
882,3,1,42,0,0,0
883,3,0,17,0,0,0
884,2,1,50,0,0,0
885,3,1,4,0,0,0
886,3,0,13,0,5,0
887,2,1,34,0,0,0
888,1,0,5,0,0,1
889,3,0,52,1,2,0
890,1,1,36,0,0,1
891,3,1,4,0,0,0
